2025-12-21 18:21:18,099 [5] INFO  - ************************** НАЧАЛО ОБНОВЛЕНИЯ ДАННЫХ: 21.12.2025 18:21:18 **************************
2025-12-21 18:21:18,240 [5] INFO  - Начало обработки европейских опционов
2025-12-21 18:21:19,800 [5] INFO  - ====================== ID option = 200000000007 ======================
2025-12-21 18:21:19,806 [5] INFO  - S = 250,75
2025-12-21 18:21:19,806 [5] INFO  - K = 248
2025-12-21 18:21:19,806 [5] INFO  - r = 0,32454
2025-12-21 18:21:19,806 [5] INFO  - T = 0,7182539682539683
2025-12-21 18:21:19,806 [5] INFO  - o` = 0,18338349999999998
2025-12-21 18:21:19,806 [5] INFO  - C = 55,41
2025-12-21 18:21:19,806 [5] INFO  - P = 0,65
2025-12-21 18:21:19,806 [5] INFO  - Delta C = 0,94193
2025-12-21 18:21:19,806 [5] INFO  - Delta P = -0,04134
2025-12-21 18:21:19,806 [5] INFO  - Gamma C = 0,03334
2025-12-21 18:21:19,807 [5] INFO  - Gamma P = 0,04882
2025-12-21 18:21:19,807 [5] INFO  - Vega C = 291,28671
2025-12-21 18:21:19,807 [5] INFO  - Vega P = 382,12087
2025-12-21 18:21:19,807 [5] INFO  - Teta C = -97,89429
2025-12-21 18:21:19,807 [5] INFO  - Teta P = -42,53169
2025-12-21 18:21:19,807 [5] INFO  - Ro C = 129,8471
2025-12-21 18:21:19,807 [5] INFO  - Ro P = -7,9144
2025-12-21 18:21:19,947 [5] INFO  - Запись 456 для опциона 200000000007 добавлена
2025-12-21 18:21:19,950 [5] INFO  - =======================================================
2025-12-21 18:21:19,952 [5] INFO  - ====================== ID option = 200000000008 ======================
2025-12-21 18:21:19,952 [5] INFO  - S = 250,75
2025-12-21 18:21:19,953 [5] INFO  - K = 249,051
2025-12-21 18:21:19,953 [5] INFO  - r = 0,32454
2025-12-21 18:21:19,953 [5] INFO  - T = 1,4444444444444444
2025-12-21 18:21:19,954 [5] INFO  - o` = 0,17338350000000002
2025-12-21 18:21:19,954 [5] INFO  - C = 95,14
2025-12-21 18:21:19,954 [5] INFO  - P = 0,1
2025-12-21 18:21:19,955 [5] INFO  - Delta C = 0,98832
2025-12-21 18:21:19,955 [5] INFO  - Delta P = -0,00585
2025-12-21 18:21:19,955 [5] INFO  - Gamma C = 0,09435
2025-12-21 18:21:19,955 [5] INFO  - Gamma P = 0,19437
2025-12-21 18:21:19,956 [5] INFO  - Vega C = 1571,87171
2025-12-21 18:21:19,956 [5] INFO  - Vega P = 2883,31928
2025-12-21 18:21:19,956 [5] INFO  - Teta C = -149,35864
2025-12-21 18:21:19,957 [5] INFO  - Teta P = -162,50988
2025-12-21 18:21:19,957 [5] INFO  - Ro C = 220,5365
2025-12-21 18:21:19,958 [5] INFO  - Ro P = -2,262
2025-12-21 18:21:20,011 [5] INFO  - Запись 457 для опциона 200000000008 добавлена
2025-12-21 18:21:20,011 [5] INFO  - =======================================================
2025-12-21 18:21:20,012 [5] INFO  - ====================== ID option = 200000000011 ======================
2025-12-21 18:21:20,014 [5] INFO  - S = 500
2025-12-21 18:21:20,014 [5] INFO  - K = 559,99
2025-12-21 18:21:20,015 [5] INFO  - r = 0,24435
2025-12-21 18:21:20,015 [5] INFO  - T = 0,7579365079365079
2025-12-21 18:21:20,015 [5] INFO  - o` = 0,22389399999999998
2025-12-21 18:21:20,015 [5] INFO  - C = 58,98
2025-12-21 18:21:20,016 [5] INFO  - P = 21
2025-12-21 18:21:20,016 [5] INFO  - Delta C = 0,67518
2025-12-21 18:21:20,016 [5] INFO  - Delta P = -0,31564
2025-12-21 18:21:20,016 [5] INFO  - Gamma C = 0,00433
2025-12-21 18:21:20,017 [5] INFO  - Gamma P = 0,00482
2025-12-21 18:21:20,017 [5] INFO  - Vega C = 192,53392
2025-12-21 18:21:20,017 [5] INFO  - Vega P = 194,85641
2025-12-21 18:21:20,017 [5] INFO  - Teta C = -97,85808
2025-12-21 18:21:20,018 [5] INFO  - Teta P = 16,27209
2025-12-21 18:21:20,018 [5] INFO  - Ro C = 211,1723
2025-12-21 18:21:20,018 [5] INFO  - Ro P = -135,5345
2025-12-21 18:21:20,024 [5] INFO  - Запись 458 для опциона 200000000011 добавлена
2025-12-21 18:21:20,024 [5] INFO  - =======================================================
2025-12-21 18:21:20,024 [5] INFO  - ====================== ID option = 200000000012 ======================
2025-12-21 18:21:20,025 [5] INFO  - S = 500
2025-12-21 18:21:20,025 [5] INFO  - K = 429
2025-12-21 18:21:20,025 [5] INFO  - r = 0,24435
2025-12-21 18:21:20,026 [5] INFO  - T = 1,4841269841269842
2025-12-21 18:21:20,026 [5] INFO  - o` = 0,213894
2025-12-21 18:21:20,026 [5] INFO  - C = 202,69
2025-12-21 18:21:20,026 [5] INFO  - P = 0,65
2025-12-21 18:21:20,027 [5] INFO  - Delta C = 0,97847
2025-12-21 18:21:20,027 [5] INFO  - Delta P = -0,01369
2025-12-21 18:21:20,028 [5] INFO  - Gamma C = 0,02258
2025-12-21 18:21:20,028 [5] INFO  - Gamma P = 0,03672
2025-12-21 18:21:20,028 [5] INFO  - Vega C = 1880,75457
2025-12-21 18:21:20,028 [5] INFO  - Vega P = 2769,89765
2025-12-21 18:21:20,029 [5] INFO  - Teta C = -212,23684
2025-12-21 18:21:20,029 [5] INFO  - Teta P = -187,91492
2025-12-21 18:21:20,030 [5] INFO  - Ro C = 425,2672
2025-12-21 18:21:20,030 [5] INFO  - Ro P = -11,116
2025-12-21 18:21:20,035 [5] INFO  - Запись 459 для опциона 200000000012 добавлена
2025-12-21 18:21:20,035 [5] INFO  - =======================================================
2025-12-21 18:21:20,035 [5] INFO  - ====================== ID option = 200000000016 ======================
2025-12-21 18:21:20,037 [5] INFO  - S = 1200
2025-12-21 18:21:20,038 [5] INFO  - K = 1211
2025-12-21 18:21:20,038 [5] INFO  - r = 0,23445
2025-12-21 18:21:20,038 [5] INFO  - T = 0,24206349206349206
2025-12-21 18:21:20,039 [5] INFO  - o` = 0,22189399999999998
2025-12-21 18:21:20,039 [5] INFO  - C = 85,5
2025-12-21 18:21:20,039 [5] INFO  - P = 26,11
2025-12-21 18:21:20,040 [5] INFO  - Delta C = 0,68323
2025-12-21 18:21:20,040 [5] INFO  - Delta P = -0,30634
2025-12-21 18:21:20,040 [5] INFO  - Gamma C = 0,00328
2025-12-21 18:21:20,041 [5] INFO  - Gamma P = 0,0036
2025-12-21 18:21:20,041 [5] INFO  - Vega C = 263,88178
2025-12-21 18:21:20,041 [5] INFO  - Vega P = 267,73566
2025-12-21 18:21:20,041 [5] INFO  - Teta C = -297,78794
2025-12-21 18:21:20,042 [5] INFO  - Teta P = -25,67073
2025-12-21 18:21:20,042 [5] INFO  - Ro C = 177,7656
2025-12-21 18:21:20,042 [5] INFO  - Ro P = -95,3059
2025-12-21 18:21:20,048 [5] INFO  - Запись 460 для опциона 200000000016 добавлена
2025-12-21 18:21:20,048 [5] INFO  - =======================================================
2025-12-21 18:21:20,048 [5] INFO  - ====================== ID option = 200000000017 ======================
2025-12-21 18:21:20,049 [5] INFO  - S = 1200
2025-12-21 18:21:20,049 [5] INFO  - K = 1221,05
2025-12-21 18:21:20,049 [5] INFO  - r = 0,23445
2025-12-21 18:21:20,050 [5] INFO  - T = 0,9603174603174603
2025-12-21 18:21:20,050 [5] INFO  - o` = 0,213894
2025-12-21 18:21:20,050 [5] INFO  - C = 247,04
2025-12-21 18:21:20,050 [5] INFO  - P = 16,49
2025-12-21 18:21:20,051 [5] INFO  - Delta C = 0,85418
2025-12-21 18:21:20,051 [5] INFO  - Delta P = -0,12667
2025-12-21 18:21:20,053 [5] INFO  - Gamma C = 0,00264
2025-12-21 18:21:20,053 [5] INFO  - Gamma P = 0,0032
2025-12-21 18:21:20,055 [5] INFO  - Vega C = 818,02123
2025-12-21 18:21:20,055 [5] INFO  - Vega P = 900,81006
2025-12-21 18:21:20,055 [5] INFO  - Teta C = -277,99376
2025-12-21 18:21:20,056 [5] INFO  - Teta P = -55,86302
2025-12-21 18:21:20,056 [5] INFO  - Ro C = 747,1008
2025-12-21 18:21:20,056 [5] INFO  - Ro P = -161,8084
2025-12-21 18:21:20,062 [5] INFO  - Запись 461 для опциона 200000000017 добавлена
2025-12-21 18:21:20,062 [5] INFO  - =======================================================
2025-12-21 18:21:20,063 [5] INFO  - ====================== ID option = 200000000021 ======================
2025-12-21 18:21:20,063 [5] INFO  - S = 320
2025-12-21 18:21:20,063 [5] INFO  - K = 225
2025-12-21 18:21:20,063 [5] INFO  - r = 0,23454
2025-12-21 18:21:20,064 [5] INFO  - T = 0,49603174603174605
2025-12-21 18:21:20,064 [5] INFO  - o` = 0,1539945
2025-12-21 18:21:20,064 [5] INFO  - C = 119,71
2025-12-21 18:21:20,064 [5] INFO  - P = 0
2025-12-21 18:21:20,065 [5] INFO  - Delta C = 1
2025-12-21 18:21:20,065 [5] INFO  - Delta P = -0,00023
2025-12-21 18:21:20,065 [5] INFO  - Gamma C = 412173,43145
2025-12-21 18:21:20,065 [5] INFO  - Gamma P = 4,29446
2025-12-21 18:21:20,066 [5] INFO  - Vega C = 2398299806,46715
2025-12-21 18:21:20,066 [5] INFO  - Vega P = 42193,97691
2025-12-21 18:21:20,066 [5] INFO  - Teta C = -276935179,18025
2025-12-21 18:21:20,068 [5] INFO  - Teta P = -8227,02615
2025-12-21 18:21:20,069 [5] INFO  - Ro C = 99,3497
2025-12-21 18:21:20,069 [5] INFO  - Ro P = -0,0372
2025-12-21 18:21:20,075 [5] INFO  - Запись 462 для опциона 200000000021 добавлена
2025-12-21 18:21:20,075 [5] INFO  - =======================================================
2025-12-21 18:21:20,075 [5] INFO  - ====================== ID option = 200000000022 ======================
2025-12-21 18:21:20,076 [5] INFO  - S = 320
2025-12-21 18:21:20,076 [5] INFO  - K = 346
2025-12-21 18:21:20,076 [5] INFO  - r = 0,23454
2025-12-21 18:21:20,077 [5] INFO  - T = 1,2222222222222223
2025-12-21 18:21:20,077 [5] INFO  - o` = 0,19399450000000001
2025-12-21 18:21:20,077 [5] INFO  - C = 66,5
2025-12-21 18:21:20,077 [5] INFO  - P = 4,6
2025-12-21 18:21:20,078 [5] INFO  - Delta C = 0,84972
2025-12-21 18:21:20,078 [5] INFO  - Delta P = -0,12929
2025-12-21 18:21:20,078 [5] INFO  - Gamma C = 0,00942
2025-12-21 18:21:20,078 [5] INFO  - Gamma P = 0,01164
2025-12-21 18:21:20,079 [5] INFO  - Vega C = 241,18849
2025-12-21 18:21:20,079 [5] INFO  - Vega P = 267,16703
2025-12-21 18:21:20,079 [5] INFO  - Teta C = -68,36107
2025-12-21 18:21:20,079 [5] INFO  - Teta P = -9,26619
2025-12-21 18:21:20,080 [5] INFO  - Ro C = 251,0628
2025-12-21 18:21:20,080 [5] INFO  - Ro P = -56,1884
2025-12-21 18:21:20,086 [5] INFO  - Запись 463 для опциона 200000000022 добавлена
2025-12-21 18:21:20,086 [5] INFO  - =======================================================
2025-12-21 18:21:20,086 [5] INFO  - ====================== ID option = 200000000031 ======================
2025-12-21 18:21:20,087 [5] INFO  - S = 420,5
2025-12-21 18:21:20,087 [5] INFO  - K = 405,9
2025-12-21 18:21:20,087 [5] INFO  - r = 0,32333
2025-12-21 18:21:20,088 [5] INFO  - T = 0,9603174603174603
2025-12-21 18:21:20,088 [5] INFO  - o` = 0,2034445
2025-12-21 18:21:20,088 [5] INFO  - C = 124,45
2025-12-21 18:21:20,089 [5] INFO  - P = 0,9
2025-12-21 18:21:20,089 [5] INFO  - Delta C = 0,96062
2025-12-21 18:21:20,089 [5] INFO  - Delta P = -0,02748
2025-12-21 18:21:20,090 [5] INFO  - Gamma C = 0,02127
2025-12-21 18:21:20,090 [5] INFO  - Gamma P = 0,03157
2025-12-21 18:21:20,090 [5] INFO  - Vega C = 770,7654
2025-12-21 18:21:20,091 [5] INFO  - Vega P = 1036,89107
2025-12-21 18:21:20,091 [5] INFO  - Teta C = -176,02822
2025-12-21 18:21:20,091 [5] INFO  - Teta P = -100,40317
2025-12-21 18:21:20,091 [5] INFO  - Ro C = 268,398
2025-12-21 18:21:20,092 [5] INFO  - Ro P = -11,9571
2025-12-21 18:21:20,097 [5] INFO  - Запись 464 для опциона 200000000031 добавлена
2025-12-21 18:21:20,097 [5] INFO  - =======================================================
2025-12-21 18:21:20,098 [5] INFO  - ====================== ID option = 200000000032 ======================
2025-12-21 18:21:20,099 [5] INFO  - S = 420,5
2025-12-21 18:21:20,100 [5] INFO  - K = 425,001
2025-12-21 18:21:20,100 [5] INFO  - r = 0,32333
2025-12-21 18:21:20,101 [5] INFO  - T = 1,3253968253968254
2025-12-21 18:21:20,101 [5] INFO  - o` = 0,19344450000000002
2025-12-21 18:21:20,101 [5] INFO  - C = 144,81
2025-12-21 18:21:20,101 [5] INFO  - P = 0,64
2025-12-21 18:21:20,102 [5] INFO  - Delta C = 0,97136
2025-12-21 18:21:20,102 [5] INFO  - Delta P = -0,01856
2025-12-21 18:21:20,102 [5] INFO  - Gamma C = 0,02468
2025-12-21 18:21:20,102 [5] INFO  - Gamma P = 0,03944
2025-12-21 18:21:20,103 [5] INFO  - Vega C = 1176,9936
2025-12-21 18:21:20,104 [5] INFO  - Vega P = 1695,62546
2025-12-21 18:21:20,104 [5] INFO  - Teta C = -175,58265
2025-12-21 18:21:20,104 [5] INFO  - Teta P = -114,60487
2025-12-21 18:21:20,105 [5] INFO  - Ro C = 349,4389
2025-12-21 18:21:20,105 [5] INFO  - Ro P = -11,1983
2025-12-21 18:21:20,110 [5] INFO  - Запись 465 для опциона 200000000032 добавлена
2025-12-21 18:21:20,110 [5] INFO  - =======================================================
2025-12-21 18:21:20,111 [5] INFO  - ====================== ID option = 200000000036 ======================
2025-12-21 18:21:20,111 [5] INFO  - S = 1800
2025-12-21 18:21:20,111 [5] INFO  - K = 1827,099
2025-12-21 18:21:20,112 [5] INFO  - r = 0,23445
2025-12-21 18:21:20,112 [5] INFO  - T = 1,2222222222222223
2025-12-21 18:21:20,112 [5] INFO  - o` = 0,22389399999999998
2025-12-21 18:21:20,113 [5] INFO  - C = 458,91
2025-12-21 18:21:20,113 [5] INFO  - P = 22,84
2025-12-21 18:21:20,113 [5] INFO  - Delta C = 0,8805
2025-12-21 18:21:20,115 [5] INFO  - Delta P = -0,10212
2025-12-21 18:21:20,115 [5] INFO  - Gamma C = 0,00171
2025-12-21 18:21:20,116 [5] INFO  - Gamma P = 0,0021
2025-12-21 18:21:20,116 [5] INFO  - Vega C = 1587,88236
2025-12-21 18:21:20,117 [5] INFO  - Vega P = 1777,21829
2025-12-21 18:21:20,118 [5] INFO  - Teta C = -416,28593
2025-12-21 18:21:20,118 [5] INFO  - Teta P = -106,65095
2025-12-21 18:21:20,118 [5] INFO  - Ro C = 1376,2015
2025-12-21 18:21:20,118 [5] INFO  - Ro P = -252,5848
2025-12-21 18:21:20,124 [5] INFO  - Запись 466 для опциона 200000000036 добавлена
2025-12-21 18:21:20,124 [5] INFO  - =======================================================
2025-12-21 18:21:20,125 [5] INFO  - ====================== ID option = 200000000037 ======================
2025-12-21 18:21:20,125 [5] INFO  - S = 1800
2025-12-21 18:21:20,125 [5] INFO  - K = 1880
2025-12-21 18:21:20,126 [5] INFO  - r = 0,23445
2025-12-21 18:21:20,126 [5] INFO  - T = 1,4642857142857142
2025-12-21 18:21:20,126 [5] INFO  - o` = 0,213894
2025-12-21 18:21:20,126 [5] INFO  - C = 494,77
2025-12-21 18:21:20,127 [5] INFO  - P = 20,48
2025-12-21 18:21:20,127 [5] INFO  - Delta C = 0,89245
2025-12-21 18:21:20,127 [5] INFO  - Delta P = -0,08987
2025-12-21 18:21:20,128 [5] INFO  - Gamma C = 0,00176
2025-12-21 18:21:20,128 [5] INFO  - Gamma P = 0,00222
2025-12-21 18:21:20,128 [5] INFO  - Vega C = 1873,69116
2025-12-21 18:21:20,128 [5] INFO  - Vega P = 2137,01525
2025-12-21 18:21:20,129 [5] INFO  - Teta C = -404,22973
2025-12-21 18:21:20,129 [5] INFO  - Teta P = -105,6459
2025-12-21 18:21:20,129 [5] INFO  - Ro C = 1627,7592
2025-12-21 18:21:20,129 [5] INFO  - Ro P = -266,8675
2025-12-21 18:21:20,135 [5] INFO  - Запись 467 для опциона 200000000037 добавлена
2025-12-21 18:21:20,135 [5] INFO  - =======================================================
2025-12-21 18:21:20,135 [5] INFO  - ====================== ID option = 200000000041 ======================
2025-12-21 18:21:20,136 [5] INFO  - S = 310,25
2025-12-21 18:21:20,136 [5] INFO  - K = 325
2025-12-21 18:21:20,136 [5] INFO  - r = 0,23445
2025-12-21 18:21:20,137 [5] INFO  - T = 0,24206349206349206
2025-12-21 18:21:20,137 [5] INFO  - o` = 0,19394450000000002
2025-12-21 18:21:20,137 [5] INFO  - C = 14,04
2025-12-21 18:21:20,138 [5] INFO  - P = 9,59
2025-12-21 18:21:20,138 [5] INFO  - Delta C = 0,5607
2025-12-21 18:21:20,139 [5] INFO  - Delta P = -0,43671
2025-12-21 18:21:20,139 [5] INFO  - Gamma C = 0,01293
2025-12-21 18:21:20,139 [5] INFO  - Gamma P = 0,01443
2025-12-21 18:21:20,139 [5] INFO  - Vega C = 61,61017
2025-12-21 18:21:20,140 [5] INFO  - Vega P = 61,67336
2025-12-21 18:21:20,140 [5] INFO  - Teta C = -63,51233
2025-12-21 18:21:20,140 [5] INFO  - Teta P = 10,64649
